GrossQTYRan,NumPerUnit,NumPerBundle,BoxLength,BoxWidth,BoxDepth,SheetLength,SheetWidth,NumInk,PercInk,Cost1,prodmonth,CostSet,CostRun,Cost1log,CostSetlog,CostRunlog,Machine4,ProductCodeEVOL,StyleRSC,StyleRSCL,CuttingDieOthers,CuttingDieUN,Grade40,Grade200,Grade32,FluteC,GlueJointGlue,WRAY,33Medium,26Medium,RockTennMRA,NUGHZ,NUG,40Medium,WRADW,33MediumDW,26MediumDW,Michelman40E,250BoxUnit,500BoxUnit,100Coverage,15PerBundle,BoxWidth55,DCAttachment,EaInkChange,EaPlateChange,ExtGlueTab,FullDieCut,FullPartDC,HHAttachment,Ink50
644,375,5,12,10,6,46.5,17.25,1,0.1,-0.0481328,5,-0.0599,0.0117672,0.39247078,0.323705758,0.421342943,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30000,900,0,9.125,6.75,8.4375,33.75,15.6875,1,0.15,-0.0274,1,-0.0132,-0.0142,0.39610285,0.333225536,0.417047455,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
530,1800,0,7.25,7.25,5.625,31,13.375,0,0,0.595987,1,0.2945,0.301487,0.493155934,0.391217483,0.466590918,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15081,1125,25,11.5,5,5.75,35,11.25,0,0,0.3152378,8,-0.0497,0.3649378,0.452106222,0.325802909,0.475901289,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1070,250,5,12,12,14,50,26.5,1,0.15,0.076659,11,-0.0288,0.105459,0.413887224,0.330068636,0.436497513,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2620,250,0,18,13,6,64,19.625,1,0.15,-0.063344,4,-0.0366,-0.026744,0.389786558,0.328481539,0.414957112,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1560,450,0,19.25,12.75,4.625,66,17.875,1,0.15,0.194128,4,0.0957,0.098428,0.433125481,0.35464617,0.435378428,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3037,300,0,21,13,8.125,70.125,24.0625,2,0.25,1.5008621,9,0.2291,1.2717621,0.603978467,0.379523064,0.59088739,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
142,140,14,21.625,9.125,8.625,63.5,18.375,1,0.15,-0.0029992,10,-0.0243,0.0213008,0.400338945,0.330981638,0.422909387,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1202,600,0,11.25,9.625,6.5,43.75,16.75,0,0,0.7627448,8,0.5968,0.1659448,0.515819765,0.441522326,0.446007427,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6193,1000,25,12,6,4,38,10.625,1,0.15,0.1773234,7,0.1948,-0.0174766,0.430425028,0.373261506,0.41650241,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,500,25,11.5625,6,11.5625,37.0625,18.0625,1,0.15,0.0239338,5,0.0257,-0.0017662,0.404967165,0.340999023,0.419109553,1,1,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1528,750,0,12.5,7.6875,7.25,42.375,15.375,1,0.25,-0.0238536,6,-0.011,-0.0128536,0.396721094,0.3336689,0.417271224,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525,500,5,20,6.5,12.5,55,19.625,0,0,0.042245,3,0.0045,0.037745,0.408085865,0.336779833,0.425598088,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
